index,attempts,error_angles
0,0,-1.1651772381886347
1,1,4.4395239988947255
2,2,4.94233692386332
3,3,2.898576799281812
4,4,-2.245742565895049
5,5,1.877877447285382
6,6,-2.1342587625021925
7,7,-0.7690246825778637
8,8,1.8717449652887928
9,9,1.8656523918324326
10,10,0.3897611953189114
11,11,-1.5534031241681787
12,12,-2.8341110163064394
13,13,0.739259355407085
14,14,-1.7069849023546784
15,15,-0.39109139705727713
16,16,-1.7241015555690158
17,17,1.7241015555690158
18,18,3.3664606634298315
19,19,-0.39377922608761184
20,20,0.5846305207054913
21,21,-0.1962176558935059
22,22,-0.5866257075096675
23,23,0.19422223746921752
24,24,2.079131721904743
25,25,0.1968919380720344
26,26,-0.77684431897522
27,27,2.8341110163064394
28,28,2.079131721904743
29,29,-0.9644843022269983
30,30,-0.5866257075096675
31,31,-0.3884400114812077
32,32,0.7794863211186394
33,33,-3.7517290705260407
34,34,-1.319077615508228
35,35,-0.7742201649275633
36,36,0.5906572146470241
37,37,-3.355520090808682
38,38,0.0
39,39,-0.7848246029917126
40,40,0.12567533494098218
41,41,0.7356591266174275
42,42,-0.4508438216609995
43,43,-1.038582332229319
44,44,-0.7705492265090204
45,45,1.5818341178520166
46,46,1.221595742492029
47,47,-0.15391033921594338
48,48,-0.0888935255712537
49,49,-1.9921527710234346
50,50,1.2875783018647453
51,51,-3.7203349464070525
52,52,-0.9964591482502364
53,53,-1.2248126077165271
54,54,-1.4038796494106704
55,55,-0.6519465871519995
56,56,-1.3843542098846267
57,57,0.5135941504127162
58,58,-2.2874871791282714
59,59,-0.4867002832429407
60,60,-0.8104154438463403
61,61,-0.9832791417459382
62,62,-3.2373830307055624
63,63,-1.9264258352535324
64,64,-4.850977130492751
65,65,-1.2673105003387772
66,66,1.8244396750194636
67,67,-3.390241970032598
68,68,-1.1094483437514995
69,69,2.565051177078221
70,70,-2.0950440368969967
71,71,0.10223450115823614
72,72,-0.170101189193873
73,73,0.795139624836263
74,74,-2.462271523422076
75,75,2.744881296942318
76,76,-1.8391448604340994
77,77,-1.5570713756365406
78,78,-1.1548511242752335
79,79,-2.5189606261435533
80,80,0.7848246029917126
81,81,-1.1573330681298035
82,82,0.0
83,83,0.5906572146470241
84,84,-0.1968919380720344
85,85,0.7821463540569459
86,86,1.735704588928556
87,87,-0.19554797627193862
88,88,0.39377922608761184
89,89,-0.19488285223686588
90,90,0.0
91,91,-0.1962176558935059
92,92,0.7875212556707524
93,93,1.7415648506974166
94,94,-0.7794863211186394
95,95,-0.1962176558935059
96,96,0.0
97,97,-1.5534031241681787
98,98,-0.19422223746921752
99,99,0.3806972514252135
100,100,-1.9091524329963898
101,101,-0.7794863211186394
102,102,-0.9809962441299026
103,103,1.1651772381886347
104,104,0.9776487850298792
105,105,0.5906572146470241
106,106,-1.1771448859822438
107,107,1.7126525766889362
108,108,0.0
109,109,0.9710219310791971
110,110,-1.7241015555690158
111,111,0.0
112,112,-1.350155611465784
113,113,0.5886345585415388
114,114,-0.7875212556707524
115,115,1.5377723846973415
116,116,-0.7848246029917126
117,117,-0.3897611953189114
118,118,-3.399714159123195
119,119,-1.5429475708199352
120,120,-0.3527679983940423
121,121,-2.0830869473626956
122,122,-1.078068656384014
123,123,-3.8562337270904585
124,124,-0.8125473623807736
125,125,-0.3527679983940423
126,126,0.35568736284359037
127,127,-0.5241109967539266
128,128,-0.6208314780104982
129,129,-1.2656912331938606
130,130,-1.5286825363827092
131,131,0.9637565320735721
132,132,-1.1548511242752335
133,133,2.384555593501684
134,134,2.02526376922635
135,135,2.4856718911246523
136,136,1.0973128857798693
137,137,1.6580164756232205
138,138,-1.2656912331938606
139,139,-1.634327221761929
140,140,0.08650455400655427
141,141,0.35568736284359037
142,142,-1.3428825434420533
143,143,0.059690104329031705
144,144,-2.759919326155244
145,145,-0.10957512233875563
146,146,-3.9353359217142563
147,147,-0.18200630610285556
148,148,-0.44983598065657165
149,149,-0.5463272730796512
150,150,0.033280436001471514
151,151,1.3930540508697529
152,152,-3.022756081519624
153,153,-1.815410331998606
154,154,-0.7779192698715107
155,155,0.9970486721458833
156,156,-2.4471884232822156
157,157,0.7982579180772921
158,158,-2.2675108276600326
159,159,-0.04360940312365408
160,160,3.5181300250132526
161,161,5.830810330848205
162,162,-1.171381300078052
163,163,5.029131072651231
164,164,-3.1170824738504366
165,165,1.7572176096142758
166,166,-0.07281967180119972
167,167,-2.891580951294773
168,168,3.7262624483677893
169,169,1.4970356638405968
170,170,-0.012090846843774818
171,171,1.4880629421849063
172,172,-1.7548951472059533
173,173,12.259523800439686
174,174,0.9334042442545977
175,175,-1.158872536772091
176,176,-0.6766992711381998
177,177,-1.768116716462638
178,178,-0.06888130949820774
179,179,0.0668585441911801
180,180,-0.9011540294520333
181,181,14.551790895010713
182,182,6.516263095592214
183,183,0.34613667817170984
184,184,-1.806703532084044
185,185,-0.9597867287914011
186,186,-1.8140270101817595
187,187,0.24045729767765495
188,188,4.6695093651548
189,189,2.4493242705351563
190,190,1.1921504553699083
191,191,-0.9260209187159089
192,192,-1.1508213937478202
193,193,0.347778072104078
194,194,0.27413684956017254
195,195,-1.378156224648178
196,196,0.6423343823572605
197,197,12.315712848501242
198,198,0.7335104597656178
199,199,1.1003286529370264
