index,attempts,error_distances
0,0,-0.01394675925925926
1,1,-0.016898148148148148
2,2,-0.050520833333333334
3,3,-0.21412037037037035
4,4,-0.05978009259259259
5,5,-0.02783564814814815
6,6,-0.041666666666666664
7,7,0.04537037037037037
8,8,-0.28385416666666663
9,9,0.2630208333333333
10,10,0.027083333333333334
11,11,0.003703703703703704
12,12,-0.012037037037037037
13,13,-0.004224537037037037
14,14,-0.05839120370370371
15,15,0.037037037037037035
16,16,0.027835648148148148
17,17,0.012037037037037037
18,18,0.023668981481481482
19,19,0.016724537037037038
20,20,0.027835648148148148
21,21,0.0796875
22,22,0.045891203703703705
23,23,-0.010416666666666666
24,24,0.05700231481481482
25,25,-0.17708333333333331
26,26,0.05978009259259259
27,27,0.005613425925925926
28,28,-0.008854166666666666
29,29,0.013020833333333332
30,30,-0.019502314814814816
31,31,-0.02783564814814815
32,32,0.03356481481481481
33,33,-0.06041666666666667
34,34,0.008333333333333333
35,35,0.03802083333333333
36,36,0.0020833333333333333
37,37,-0.06533564814814816
38,38,0.033854166666666664
39,39,0.29866898148148147
40,40,-0.03146502157237724
41,41,-0.040600972646162185
42,42,0.0853868898304907
43,43,-0.0616617072969341
44,44,-0.021263294266911502
45,45,-0.13081497244125515
46,46,-0.00042959681281344716
47,47,-0.12610472011582402
48,48,-0.0673943420809747
49,49,-0.04667597786306824
50,50,-0.029053908770012824
51,51,-0.053225408518268416
52,52,-0.18276839990788088
53,53,-0.14310815169036933
54,54,-0.052611077463971055
55,55,-0.03742197766026239
56,56,-0.19785484795201005
57,57,0.07366075299101467
58,58,-0.06984296641238605
59,59,-0.10648862485353235
60,60,-0.05144660203431024
61,61,-0.062196808789239805
62,62,-0.18015263569418496
63,63,-0.09864186225272828
64,64,-0.08376633841461067
65,65,-0.06539396938218188
66,66,-0.0450815003164143
67,67,-0.05559080483084306
68,68,-0.09862841900990726
69,69,-0.05692299268194871
70,70,-0.03631216447704379
71,71,-0.057100192420490206
72,72,-0.18270427105720785
73,73,-0.13718679682477447
74,74,-0.05313389420440853
75,75,0.04623737609861152
76,76,0.04038525846610695
77,77,-0.16788679071758414
78,78,0.039525526478494805
79,79,-0.23139384764567467
80,80,5.708333333333334
81,81,0.2974537037037037
82,82,0.16759259259259257
83,83,-0.05648148148148148
84,84,0.045891203703703705
85,85,0.04635416666666667
86,86,0.016666666666666666
87,87,0.041666666666666664
88,88,-0.033854166666666664
89,89,0.050520833333333334
90,90,0.029224537037037035
91,91,0.05925925925925926
92,92,0.03425925925925926
93,93,0.027083333333333334
94,94,0.11041666666666666
95,95,0.0014467592592592592
96,96,0.023148148148148147
97,97,-0.058854166666666666
98,98,0.46672453703703703
99,99,0.003703703703703704
100,100,-0.033854166666666664
101,101,-0.14814814814814814
102,102,-0.21666666666666667
103,103,-0.06412037037037037
104,104,-0.019502314814814816
105,105,0.014814814814814815
106,106,-0.03616898148148148
107,107,0.0005208333333333333
108,108,0.008333333333333333
109,109,0.010416666666666666
110,110,-0.05005787037037037
111,111,-0.08981481481481482
112,112,-0.11689814814814814
113,113,0.07552083333333334
114,114,-0.0014467592592592592
115,115,0.1083912037037037
116,116,-0.023148148148148147
117,117,0.019502314814814816
118,118,-0.08333333333333333
119,119,0.12135416666666668
120,120,-13.746551260403397
121,121,-0.6825227696652775
122,122,-0.2994365617815706
123,123,-0.3741807581925706
124,124,-0.042542766679163124
125,125,-0.04559604006531498
126,126,-0.14160775058611652
127,127,0.09972650481382915
128,128,0.11738068515918887
129,129,0.044035461622436954
130,130,0.5359972864262397
131,131,0.768254408911259
132,132,0.03437756165955573
133,133,2.4382594165805616
134,134,0.2356436934275391
135,135,0.039525526478494805
136,136,0.017128327621803677
137,137,0.03437756165955573
138,138,-0.0014433178523525294
139,139,0.4747486527324545
140,140,0.017995876431299872
141,141,0.06397177131975905
142,142,-0.03576053333083032
143,143,-0.08910023914317078
144,144,-0.14202530502625896
145,145,0.07884041117231834
146,146,0.07117996278619737
147,147,0.006137655999533708
148,148,0.03843556744961769
149,149,-0.062456944905496345
150,150,0.07094072394409738
151,151,0.061503983961498476
152,152,0.4826572655282317
153,153,0.3807562011258585
154,154,0.4334219289516964
155,155,0.49719461029198553
156,156,1.3043168283589726
157,157,-0.0013762599607504583
158,158,0.23590821527252676
159,159,0.7516367494056886
160,160,28.22804622929919
161,161,2.367734619784417
162,162,7.739184068751457
163,163,3.1279193350770242
164,164,3.7876179346281225
165,165,1.2307888631066723
166,166,4.0571571185477175
167,167,0.3655676092253123
168,168,1.3951279705206066
169,169,2.014542377473446
170,170,-0.02677899099282092
171,171,2.413531504699489
172,172,0.1900493746913146
173,173,0.36414679693656643
174,174,-0.006133293591861019
175,175,0.02231633077093291
176,176,2.1098082738253274
177,177,-0.5229069628588026
178,178,3.862031540368318
179,179,-0.8095505790751646
180,180,0.04432894433820468
181,181,5.0034663636232635
182,182,0.17047643306222185
183,183,5.339173961977818
184,184,2.738980350704274
185,185,6.945762127563097
186,186,0.6888177123052652
187,187,0.06064300517354748
188,188,-0.016412116641971283
189,189,7.980961629751526
190,190,7.375200108902365
191,191,-0.5001260490267749
192,192,-0.01513954120802127
193,193,1.6856124964928774
194,194,1.1832842993953194
195,195,0.2424107896599795
196,196,0.24315537404963802
197,197,-0.07504754447360024
198,198,0.4977911055795971
199,199,0.018429706606938396
