index,pertubation_type,mean,CI
0,baseline,0.6105331168236097,0.06287702567842787
1,gradual,0.5039845686873414,0.05105020887144543
2,sudden,0.07390512478390274,0.07352408577081757
3,random,0.018200362801332273,0.11991477160762778
