index,pertubation_type,mean,CI
0,baseline,-0.5070831637078538,0.156719668057391
1,gradual,-0.6718995283932416,0.13348655244148103
2,sudden,-1.0545535641359682,0.14296010144246932
3,random,-0.3125884303506093,0.18595955570533512
