index,pertubation_type,mean,CI
0,baseline,-0.7230040535907578,0.08410532231204998
1,gradual,-0.7569247010239408,0.0673253041565221
2,sudden,-0.846702910490815,0.0888447872716861
3,random,-0.13509770344506428,0.15034090274216264
