index,pertubation_type,mean,CI
0,baseline,0.44013051593804603,0.15374625898967167
1,gradual,0.2307520347978765,0.11885210183377205
2,sudden,0.22846784492736313,0.11714299930383681
3,random,0.07090577620064126,0.0849631912846525
