index,attempts,error_distances
0,0,-0.04189814814814814
1,1,0.7736689814814814
2,2,25.49635416666667
3,3,0.37037037037037035
4,4,-0.10833333333333334
5,5,0.07523148148148148
6,6,-0.5231481481481481
7,7,-0.012037037037037037
8,8,0.08541666666666667
9,9,0.09745370370370371
10,10,0.035416666666666666
11,11,-0.05648148148148148
12,12,-0.12552083333333333
13,13,0.10092592592592592
14,14,-0.045891203703703705
15,15,-0.047453703703703706
16,16,-0.04311342592592593
17,17,0.04311342592592593
18,18,0.20208333333333334
19,19,-0.07708333333333334
20,20,0.03802083333333333
21,21,-0.05978009259259259
22,22,-0.05005787037037037
23,23,0.023668981481481482
24,24,0.07135416666666666
25,25,0.07552083333333333
26,26,-0.03148148148148148
27,27,0.12552083333333333
28,28,0.07135416666666666
29,29,-0.021354166666666667
30,30,-0.05005787037037037
31,31,-0.02523148148148148
32,32,0.041666666666666664
33,33,-0.23148148148148148
34,34,-0.04033564814814815
35,35,-0.023148148148148147
36,36,0.0796875
37,37,-0.21412037037037038
38,38,0.04537037037037037
39,39,-0.06759259259259259
40,40,0.04011237730948568
41,41,0.07270371330105947
42,42,-0.05793597020130053
43,43,-0.0720554170051763
44,44,-0.021592574933681337
45,45,0.053663909659393036
46,46,0.05093075674886325
47,47,-0.02802277167994691
48,48,-0.08356325692281741
49,49,-0.06668215368336558
50,50,0.03326936023011441
51,51,-0.2153755683547998
52,52,-0.05451123591578161
53,53,-0.052611077463971055
54,54,-0.02887443014318898
55,55,-0.031442460900465444
56,56,-0.03378071082130893
57,57,0.06868962734008781
58,58,-0.09341076918885188
59,59,-0.0735160984166817
60,60,-0.08433775452915734
61,61,-0.04858183698422288
62,62,-0.1848429855934635
63,63,-0.09864186225272828
64,64,-0.416731261254079
65,65,-0.06539396938218188
66,66,0.05001184425962741
67,67,-0.21578600042398433
68,68,-0.0618156919679249
69,69,0.13161273946018154
70,70,-0.12612341091831245
71,71,0.06854663123661997
72,72,-0.08852594219688292
73,73,0.07351723355766016
74,74,-0.09750622086535747
75,75,0.14560349400784314
76,76,-0.07272960382081886
77,77,-0.03468194180611024
78,78,-0.07436854655007293
79,79,-0.14631119117453856
80,80,0.06759259259259259
81,81,-0.027083333333333334
82,82,0.075
83,83,0.0796875
84,84,-0.07552083333333333
85,85,0.053703703703703705
86,86,0.050520833333333334
87,87,-0.045891203703703705
88,88,0.07708333333333334
89,89,-0.033854166666666664
90,90,0.09259259259259259
91,91,-0.05978009259259259
92,92,0.08333333333333333
93,93,0.05700231481481482
94,94,-0.041666666666666664
95,95,-0.05978009259259259
96,96,0.075
97,97,-0.05648148148148148
98,98,-0.023668981481481482
99,99,0.0030092592592592593
100,100,-0.052083333333333336
101,101,-0.041666666666666664
102,102,-0.07228009259259259
103,103,0.04189814814814814
104,104,0.05839120370370371
105,105,0.0796875
106,106,-0.07800925925925926
107,107,0.04311342592592593
108,108,0.075
109,109,0.03616898148148148
110,110,-0.04311342592592593
111,111,0.09259259259259259
112,112,-0.033854166666666664
113,113,0.06394675925925926
114,114,-0.08333333333333333
115,115,0.037037037037037035
116,116,-0.06759259259259259
117,117,-0.035416666666666666
118,118,-0.17708333333333334
119,119,-0.041666666666666664
120,120,-0.074942816150353
121,121,-0.07216901089932987
122,122,-0.0541951031827598
123,123,-0.22873038254858266
124,124,-0.05178955622388268
125,125,-0.074942816150353
126,126,0.07884041117231834
127,127,-0.08541845329721402
128,128,-0.07255951538388075
129,129,-0.042619336403954725
130,130,-0.0498137310881812
131,131,0.07932288256726831
132,132,-0.07436854655007293
133,133,0.09883189308856516
134,134,0.08672125429884749
135,135,0.09972650481382915
136,136,0.04728024482638878
137,137,0.04628378149913126
138,138,-0.042619336403954725
139,139,-0.03925946951301025
140,140,0.07117996278619737
141,141,0.07884041117231834
142,142,-0.05879252770801589
143,143,0.039525526478494805
144,144,-0.121610950170423
145,145,-0.04591770426039687
146,146,-0.27098298309077706
147,147,-0.06571139196645491
148,148,-0.06243469871308986
149,149,-0.05157588683138316
150,150,0.01711580726025832
151,151,0.0331797708899451
152,152,-0.23985680704180962
153,153,-0.047475369400871485
154,154,-0.00945292442009573
155,155,0.0359293856421315
156,156,-0.20453042064886978
157,157,0.018175583940283083
158,158,-0.12312988294389385
159,159,-0.00535495214234068
160,160,0.1911804300866811
161,161,0.500461230492078
162,162,-0.06046680651992678
163,163,0.3722381116259059
164,164,-0.17292570980258679
165,165,0.047403486782452
166,166,-0.04476747910395743
167,167,-0.12957160101135382
168,168,0.21092437896629168
169,169,0.21527316429822096
170,170,-0.0890225937711438
171,171,0.06218208826122105
172,172,-0.04405836279146805
173,173,2.2008344966757836
174,174,0.05447812104040714
175,175,-0.023091263325668777
176,176,-0.03368463885486565
177,177,-0.05421587178950406
178,178,-0.012748728745203629
179,179,0.04791159088487013
180,180,-0.05916021361816483
181,181,3.1728161944988447
182,182,0.6483473158495862
183,183,0.022190443394781573
184,184,-0.04677378213296011
185,185,-0.0628984417621127
186,186,-0.0469932945840434
187,187,0.08458342576581049
188,188,0.32207134009672633
189,189,0.23207189876177198
190,190,0.025925836284159398
191,191,-0.050141881729437274
192,192,-0.032274333587586246
193,193,0.06403117113479914
194,194,0.05356847388616869
195,195,-0.027894674542079608
196,196,0.0377159113144212
197,197,2.1986746462834375
198,198,0.04984370991861268
199,199,0.07661359534483479
