index,attempts,error_angles
0,0,-1.1573330681298035
1,1,-0.7690246825778637
2,2,-0.39377922608761184
3,3,-2.0722984456192
4,4,-1.6902046743217265
5,5,-0.3845296595839492
6,6,0.7742201649275633
7,7,-0.9776487850298792
8,8,-0.7690246825778637
9,9,-1.8476102659945155
10,10,1.1691393279074445
11,11,-2.0520653704084144
12,12,-0.5767836649301069
13,13,0.7794863211186394
14,14,1.1612419083137995
15,15,0.0
16,16,0.19488285223686588
17,17,-1.1457628381751443
18,18,0.39243070934227764
19,19,-0.7638984609298817
20,20,-0.19488285223686588
21,21,0.1962176558935059
22,22,-1.7069849023546784
23,23,0.77684431897522
24,24,-1.1612419083137995
25,25,-2.0454084888871935
26,26,-0.3794367014184255
27,27,-1.3639275316031905
28,28,0.39243070934227764
29,29,-1.3411277797169256
30,30,0.7613608915306964
31,31,-0.7613608915306964
32,32,0.0
33,33,-1.1534504511055996
34,34,0.7821463540569459
35,35,1.7415648506974166
36,36,0.3897611953189114
37,37,0.5710353731143737
38,38,-1.1419573267890173
39,39,-0.38712775415102074
40,40,-3.5544579772609914
41,41,-3.37325712687127
42,42,-1.8542371618249442
43,43,1.2363947990585853
44,44,-0.8572354421155766
45,45,-0.4044199823851404
46,46,4.471161762203072
47,47,-0.9117398024618014
48,48,0.27260177719952194
49,49,-1.7834203578692749
50,50,-1.780979175130791
51,51,-1.1998121158178945
52,52,0.08102695997090212
53,53,-2.3864221256262423
54,54,2.5278488567121595
55,55,-1.9275221625608168
56,56,-1.3843542098846267
57,57,1.1013023991582327
58,58,-2.672229288683169
59,59,1.680927169556343
60,60,-4.4110212915525056
61,61,-5.171217128544624
62,62,-1.2828172006836118
63,63,-3.340517001367735
64,64,-3.557845028300434
65,65,-1.7818768932142974
66,66,-2.0295921915135438
67,67,-5.415598833095473
68,68,-5.5058001335529365
69,69,-3.952353061001371
70,70,-5.683675809886726
71,71,-2.74949449286681
72,72,0.42014857334420525
73,73,-2.7722546820459697
74,74,-5.100200605473513
75,75,1.4769724584512454
76,76,-7.46674992099578
77,77,-5.119633140818273
78,78,-6.2770867065776
79,79,-1.5981043928610759
80,80,24.093386415444595
81,81,4.640458264263574
82,82,0.5846305207054913
83,83,-2.743704976223487
84,84,0.38582433317027853
85,85,0.7794863211186394
86,86,-0.9809962441299026
87,87,1.3411277797169256
88,88,0.5886345585415388
89,89,1.149593794274467
90,90,-0.7875212556707524
91,91,0.7716136787358204
92,92,0.0
93,93,-0.9330735232186459
94,94,-0.38712775415102074
95,95,-1.3366589783290301
96,96,-0.1962176558935059
97,97,-0.7821463540569459
98,98,-1.7183580016555007
99,99,0.7848246029917126
100,100,-1.8299136395072921
101,101,-0.7742201649275633
102,102,0.5806805858927973
103,103,-2.0520653704084144
104,104,-1.7069849023546784
105,105,0.38324364563525753
106,106,-0.39377922608761184
107,107,0.39377922608761184
108,108,1.7013546053260247
109,109,-3.323120445135419
110,110,-0.38712775415102074
111,111,1.1344216309770936
112,112,-0.19488285223686588
113,113,1.1457628381751443
114,114,-0.7794863211186394
115,115,0.7794863211186394
116,116,-1.3685808069531213
117,117,-0.18972043082759346
118,118,0.19488285223686588
119,119,-0.3884400114812077
120,120,-29.081876997664928
121,121,-4.927120825908314
122,122,-2.3770504003986557
123,123,-0.391916961651488
124,124,-1.8507532140721616
125,125,-2.44004252914209
126,126,1.2806547359780545
127,127,-4.345643184555044
128,128,8.238109935105221
129,129,8.687635245351915
130,130,-4.35899417569479
131,131,-0.4446038477557649
132,132,-1.3428825434420533
133,133,2.746580964688457
134,134,-0.7834930302375911
135,135,1.2930389959205646
136,136,-0.7446150806618241
137,137,-1.7116701239555856
138,138,-3.9281571240054456
139,139,-2.454232408925562
140,140,-0.9638963134258602
141,141,-1.862193944225268
142,142,-1.389540334034807
143,143,-1.1810304894580483
144,144,-2.102728969052447
145,145,1.6823660270505343
146,146,-0.8323866204215348
147,147,0.9321886126707827
148,148,-0.018360631137614637
149,149,-1.5429834045623798
150,150,-4.332672468800445
151,151,-0.4446038477557649
152,152,-3.8471415643243936
153,153,0.9964036963539463
154,154,-7.8528145092219654
155,155,-3.10848067793041
156,156,-3.3504418347718365
157,157,3.8937849946766128
158,158,-0.9453959009226567
159,159,1.4211372860504714
160,160,33.14194601673866
161,161,3.0635481072238626
162,162,1.2702329038502667
163,163,-17.87531193298346
164,164,7.887370223798921
165,165,-6.21627614788914
166,166,-4.830424722002157
167,167,3.807222070916302
168,168,14.968305034363148
169,169,12.584274558244832
170,170,15.948923573642636
171,171,18.491649758662565
172,172,24.99554864501628
173,173,1.2625453690434605
174,174,3.4784779104749037
175,175,-1.222530662565483
176,176,9.611971766133598
177,177,-4.384309933406719
178,178,3.573282376584305
179,179,38.3389360888227
180,180,-32.689930579254565
181,181,25.141401253953184
182,182,3.469053357464953
183,183,-15.392757006378995
184,184,-4.872335839538339
185,185,10.149513274298231
186,186,-0.713470070890612
187,187,0.8733780509124675
188,188,-0.3706160832644376
189,189,23.639133813033666
190,190,-13.505121980081103
191,191,13.369316239551287
192,192,37.15834482335316
193,193,-25.400551798000382
194,194,8.50719631462741
195,195,11.626293545316258
196,196,23.161358966047306
197,197,7.005151221747298
198,198,3.124526721640521
199,199,15.76168416523266
