index,pertubation_type,mean,CI
0,baseline,-0.23756816652891366,0.06810310163527493
1,gradual,-0.31052369697858534,0.054451043430279816
2,sudden,-0.2833520742082618,0.08499538603304038
3,random,1.18275790436519,0.13777383615623323
