index,attempts,error_angles
0,0,-2.0722984456192
1,1,-0.9776487850298792
2,2,-0.3897611953189114
3,3,0.38712775415102074
4,4,0.0
5,5,-0.19554797627193862
6,6,2.079131721904743
7,7,0.9710219310791971
8,8,1.3639275316031905
9,9,0.39243070934227764
10,10,1.5534031241681787
11,11,0.1968919380720344
12,12,1.5534031241681787
13,13,2.4406379257613655
14,14,0.7875212556707524
15,15,0.9776487850298792
16,16,-1.7415648506974166
17,17,0.7848246029917126
18,18,1.359305786068842
19,19,0.1968919380720344
20,20,1.1771448859822438
21,21,1.7415648506974166
22,22,0.5886345585415388
23,23,2.079131721904743
24,24,1.7415648506974166
25,25,0.9776487850298792
26,26,1.8902637151597947
27,27,1.5586842062107429
28,28,2.6281254575761035
29,29,0.9710219310791971
30,30,0.0
31,31,1.1771448859822438
32,32,0.7848246029917126
33,33,1.3639275316031905
34,34,1.1771448859822438
35,35,0.7875212556707524
36,36,0.5906572146470241
37,37,-3.388556990723575
38,38,2.4486565838245555
39,39,0.9516696081782029
40,40,2.4850943496430236
41,41,-0.2456257693938868
42,42,0.9316714800218439
43,43,-0.049220890984308506
44,44,-2.0483455186178467
45,45,1.246148894669988
46,46,0.10155110594360861
47,47,1.0283962389495769
48,48,0.8155988827537605
49,49,0.07475802101450786
50,50,-0.28384337990377506
51,51,-0.5658707961625847
52,52,-0.9590598196769945
53,53,-0.11134196037277953
54,54,-0.4968930067125362
55,55,-1.7960262782682173
56,56,-1.011069303741909
57,57,-1.8907918018457948
58,58,-1.1972343738635256
59,59,-3.2470677493358093
60,60,-1.6639571102818005
61,61,-1.7931007596406403
62,62,-0.8684139296289749
63,63,-1.1699010321501395
64,64,-1.3209743691212703
65,65,-1.215721295990462
66,66,-0.967085510775103
67,67,0.6337804166132958
68,68,-1.3801350519596471
69,69,0.5226793523556185
70,70,-5.3880307943604455
71,71,-0.9031780818389359
72,72,-0.6101647278276937
73,73,-6.728897011873091
74,74,-0.7859139861632944
75,75,-2.0401626467495237
76,76,-2.759919326155244
77,77,-2.4254360403056303
78,78,-1.634327221761929
79,79,-4.617879408118335
80,80,4.904455720599032
81,81,4.34086006469124
82,82,6.423470436556519
83,83,3.5881066738893477
84,84,3.951654481382211
85,85,1.8902637151597947
86,86,6.423470436556519
87,87,2.6025622024998034
88,88,3.2112480181114162
89,89,4.856603933943115
90,90,2.0520653704084144
91,91,2.2530980802667355
92,92,3.951654481382211
93,93,5.361568980631803
94,94,7.399594659887124
95,95,5.6175805901268605
96,96,5.860827547736017
97,97,5.784738394736477
98,98,4.298462903765697
99,99,7.3105139752145485
100,100,1.877877447285382
101,101,1.5586842062107429
102,102,0.9776487850298792
103,103,0.7875212556707524
104,104,2.260501911141195
105,105,-0.7875212556707524
106,106,0.9677420765109351
107,107,-0.9809962441299026
108,108,1.359305786068842
109,109,2.8341110163064394
110,110,-0.7875212556707524
111,111,0.9809962441299026
112,112,1.548157698977982
113,113,0.9710219310791971
114,114,1.1612419083137995
115,115,1.8595993387457423
116,116,3.5763343749974728
117,117,2.4247570440379063
118,118,0.9809962441299026
119,119,-0.7848246029917126
120,120,-1.7625544618327964
121,121,-3.77297309885968
122,122,-10.674514923717334
123,123,-6.974507991471952
124,124,-1.3586697661641458
125,125,-4.017033958112392
126,126,-5.71207909177958
127,127,-4.277473083662356
128,128,-3.019769281777
129,129,-6.456555132563303
130,130,-4.808491353513879
131,131,-6.900622858208266
132,132,-6.605527242638487
133,133,-8.546043983436528
134,134,-6.478829467443329
135,135,-6.018595285101166
136,136,-8.652201702167511
137,137,-2.846026162026173
138,138,-7.309294608936056
139,139,-0.6208314780104982
140,140,-4.698621374580203
141,141,-4.025606037568582
142,142,-3.0989070484589054
143,143,-5.866252147998309
144,144,-5.44744246402824
145,145,-2.1804972002407186
146,146,-2.5189606261435533
147,147,-3.4349488229220166
148,148,-6.189036700627134
149,149,-6.703047729740695
150,150,-8.855544106684361
151,151,-4.447434515531799
152,152,-1.0958769193668436
153,153,-1.7377926333215832
154,154,-4.949022183557087
155,155,-0.011825984776205029
156,156,-0.5241109967539266
157,157,-0.5241109967539266
158,158,-4.35899417569479
159,159,-4.1954676000528766
160,160,8.495133354587253
161,161,22.23878164648888
162,162,9.793088085970648
163,163,8.387039933233776
164,164,-7.023571631091959
165,165,7.814592619674919
166,166,0.6802338763279733
167,167,9.008933929973747
168,168,3.0338379997066895
169,169,15.260424093031526
170,170,4.9420976421781315
171,171,3.1667440056199396
172,172,1.7881030700013072
173,173,1.518014241762902
174,174,0.3999539794751569
175,175,10.030862589476143
176,176,-49.043219861183225
177,177,4.837389161500686
178,178,-2.1489956128539456
179,179,0.2334757053704949
180,180,2.512239280248875
181,181,2.2451420273132103
182,182,4.098456904623972
183,183,7.707998777085985
184,184,-6.613879917752299
185,185,3.6777725973696516
186,186,15.741968008338809
187,187,7.243496867784917
188,188,-3.3406646250383543
189,189,7.829916025401294
190,190,18.451032777929985
191,191,-1.2959420256344192
192,192,15.388309822942938
193,193,-1.2382763916130561
194,194,16.603569389671787
195,195,11.42429281468473
196,196,-3.3452006183200016
197,197,-7.624540882061368
198,198,15.01692881593062
199,199,10.141134580959584
