subject_name,target_mode,perturbation_type,trial_number,trial_name,feedback_type,target_pos,changed_angels,error_angles,perturbed_angels
Helenö,sequence,gradual,1,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.12760331589680285,0.0
Helenö,sequence,gradual,2,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.15827368278144993,0.0
Helenö,sequence,gradual,3,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.04100320017535963,0.0
Helenö,sequence,gradual,4,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.040833832786880686,0.0
Helenö,sequence,gradual,5,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.08810276231794567,0.0
Helenö,sequence,gradual,6,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.0038268879462256544,0.0
Helenö,sequence,gradual,7,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.029028833122705988,0.0
Helenö,sequence,gradual,8,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.02743522590450087,0.0
Helenö,sequence,gradual,9,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.09922043906750022,0.0
Helenö,sequence,gradual,10,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.16674130052687697,0.0
Helenö,sequence,gradual,11,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,nan,0.0
Helenö,sequence,gradual,12,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.022480298719631198,0.0
Helenö,sequence,gradual,13,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.02236248130163554,0.0
Helenö,sequence,gradual,14,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.08793025773466656,0.0
Helenö,sequence,gradual,15,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.04069862456704476,0.0
Helenö,sequence,gradual,16,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.032527560153038815,0.0
Helenö,sequence,gradual,17,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.0198731851425763,0.0
Helenö,sequence,gradual,18,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.001899865175823634,0.0
Helenö,sequence,gradual,19,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.04619368400926249,0.0
Helenö,sequence,gradual,20,No Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.10071856591242212,0.0
Helenö,sequence,gradual,21,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.012471726103977843,1.0
Helenö,sequence,gradual,22,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.05323652895125264,1.0
Helenö,sequence,gradual,23,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.04565885883098797,1.0
Helenö,sequence,gradual,24,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.03925440197924446,2.0
Helenö,sequence,gradual,25,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.0008277461202653713,2.0
Helenö,sequence,gradual,26,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,0.005130136422802467,2.0
Helenö,sequence,gradual,27,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,nan,3.0
Helenö,sequence,gradual,28,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.17862537489701813,3.0
Helenö,sequence,gradual,29,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.10476396661042575,3.0
Helenö,sequence,gradual,30,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.06367154841788836,4.0
Helenö,sequence,gradual,31,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.31165320552075015,4.0
Helenö,sequence,gradual,32,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.21492936782774663,4.0
Helenö,sequence,gradual,33,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.15492759434222791,5.0
Helenö,sequence,gradual,34,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.057290186261134024,5.0
Helenö,sequence,gradual,35,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.16998750195837342,5.0
Helenö,sequence,gradual,36,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.26181309939667474,6.0
Helenö,sequence,gradual,37,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.12985341677726336,6.0
Helenö,sequence,gradual,38,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.17930969948227937,6.0
Helenö,sequence,gradual,39,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.2632540454427492,7.0
Helenö,sequence,gradual,40,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.09005365821912448,7.0
Helenö,sequence,gradual,41,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.06970494091970492,7.0
Helenö,sequence,gradual,42,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.08945715094368267,8.0
Helenö,sequence,gradual,43,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.24387541809679902,8.0
Helenö,sequence,gradual,44,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.15155102813313137,8.0
Helenö,sequence,gradual,45,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.22925557036168787,9.0
Helenö,sequence,gradual,46,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.20534142892480323,9.0
Helenö,sequence,gradual,47,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.20223923861197712,9.0
Helenö,sequence,gradual,48,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.8051761519443243,10.0
Helenö,sequence,gradual,49,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,nan,10.0
Helenö,sequence,gradual,50,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.42539183048622875,10.0
Helenö,sequence,gradual,51,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.390720815999706,10.0
Helenö,sequence,gradual,52,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.2643396359804804,10.0
Helenö,sequence,gradual,53,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.23209340403338552,10.0
Helenö,sequence,gradual,54,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.12188089904563737,10.0
Helenö,sequence,gradual,55,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.17782572656593088,10.0
Helenö,sequence,gradual,56,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.3453066613664526,10.0
Helenö,sequence,gradual,57,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.2492456662949447,10.0
Helenö,sequence,gradual,58,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.41916661724407134,10.0
Helenö,sequence,gradual,59,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.3238033111374703,10.0
Helenö,sequence,gradual,60,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.43835251227049743,10.0
Helenö,sequence,gradual,61,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.369148196113098,10.0
Helenö,sequence,gradual,62,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.45825862309738263,10.0
Helenö,sequence,gradual,63,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.47122574211972346,10.0
Helenö,sequence,gradual,64,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,nan,10.0
Helenö,sequence,gradual,65,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.263229619428053,10.0
Helenö,sequence,gradual,66,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.18630602027879828,10.0
Helenö,sequence,gradual,67,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.23685486857843396,10.0
Helenö,sequence,gradual,68,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.18371243333686693,10.0
Helenö,sequence,gradual,69,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.2931742250149336,10.0
Helenö,sequence,gradual,70,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.24780851024231842,10.0
Helenö,sequence,gradual,71,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.19355386634333227,10.0
Helenö,sequence,gradual,72,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.31864224074461633,10.0
Helenö,sequence,gradual,73,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.4898525814578971,10.0
Helenö,sequence,gradual,74,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.4203336781222389,10.0
Helenö,sequence,gradual,75,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.2088770817110981,10.0
Helenö,sequence,gradual,76,Gradual Perturbation,no,"[960.8362829059618, 202.1866670643066]",40,-0.4048112251811302,10.0
