subject_name,target_mode,perturbation_type,trial_number,trial_name,target_pos,changed_angels,error_angles
Lea,sequence,sudden,63,Aftereffect,-1.2217304763960308,20,-0.1160866113217629
Lea,sequence,sudden,64,Aftereffect,-1.2217304763960308,20,-0.035613860686892984
Lea,sequence,sudden,65,Aftereffect,-1.2217304763960308,20,nan
Lea,sequence,sudden,66,Aftereffect,-1.2217304763960308,20,-0.14737320220336136
Lea,sequence,sudden,67,Aftereffect,-1.2217304763960308,20,0.028992551187253968
Lea,sequence,sudden,68,Aftereffect,-1.2217304763960308,20,-0.015940398823120372
Lea,sequence,sudden,69,Aftereffect,-1.2217304763960308,20,-0.013427300071256587
Lea,sequence,sudden,70,Aftereffect,-1.2217304763960308,20,-0.046563171953690086
Lea,sequence,sudden,71,Aftereffect,-1.2217304763960308,20,0.06850488450219028
Lea,sequence,sudden,72,Aftereffect,-1.2217304763960308,20,0.027060079137032345
Lea,sequence,sudden,73,Aftereffect,-1.2217304763960308,20,-0.08740882921759496
Lea,sequence,sudden,74,Aftereffect,-1.2217304763960308,20,0.02665873411031172
Lea,sequence,sudden,75,Aftereffect,-1.2217304763960308,20,nan
Lea,sequence,sudden,76,Aftereffect,-1.2217304763960308,20,0.014461026575572689
Lea,sequence,sudden,77,Aftereffect,-1.2217304763960308,20,0.0016620978493377958
Lea,sequence,sudden,78,Aftereffect,-1.2217304763960308,20,-0.05416834381836089
Lea,sequence,sudden,79,Aftereffect,-1.2217304763960308,20,-0.0940178142042174
Lea,sequence,sudden,80,Aftereffect,-1.2217304763960308,20,-0.020091479451122662
Lea,sequence,sudden,81,No Perturbation,-0.8726646259971649,40,-0.320073299211612
Lea,sequence,sudden,82,No Perturbation,-0.8726646259971649,40,0.11795857596973514
Lea,sequence,sudden,83,No Perturbation,-0.8726646259971649,40,0.05602662916944834
Lea,sequence,sudden,84,No Perturbation,-0.8726646259971649,40,-0.021822542400265044
Lea,sequence,sudden,85,No Perturbation,-0.8726646259971649,40,0.07833812841987986
Lea,sequence,sudden,86,No Perturbation,-0.8726646259971649,40,0.07422372396910892
Lea,sequence,sudden,87,No Perturbation,-0.8726646259971649,40,0.08943565659436292
Lea,sequence,sudden,88,No Perturbation,-0.8726646259971649,40,0.005716952407214704
Lea,sequence,sudden,89,No Perturbation,-0.8726646259971649,40,0.016768452065352712
Lea,sequence,sudden,90,No Perturbation,-0.8726646259971649,40,-0.04680806577802288
Lea,sequence,sudden,91,No Perturbation,-0.8726646259971649,40,0.0735058633175284
Lea,sequence,sudden,92,No Perturbation,-0.8726646259971649,40,-0.03090188421959561
Lea,sequence,sudden,93,No Perturbation,-0.8726646259971649,40,0.032946430030915574
Lea,sequence,sudden,94,No Perturbation,-0.8726646259971649,40,0.02038073770404991
Lea,sequence,sudden,95,No Perturbation,-0.8726646259971649,40,0.06433470330324098
Lea,sequence,sudden,96,No Perturbation,-0.8726646259971649,40,0.040788331248713616
Lea,sequence,sudden,97,No Perturbation,-0.8726646259971649,40,0.04420919049035599
Lea,sequence,sudden,98,No Perturbation,-0.8726646259971649,40,0.015318793036334544
Lea,sequence,sudden,99,No Perturbation,-0.8726646259971649,40,-0.09382619393150204
Lea,sequence,sudden,100,No Perturbation,-0.8726646259971649,40,0.02514553761133187
Lea,sequence,sudden,101,Sudden Perturbation,-0.8726646259971649,40,nan
Lea,sequence,sudden,102,Sudden Perturbation,-0.8726646259971649,40,nan
Lea,sequence,sudden,103,Sudden Perturbation,-0.8726646259971649,40,0.12008441501267753
Lea,sequence,sudden,104,Sudden Perturbation,-0.8726646259971649,40,0.12618822495100035
Lea,sequence,sudden,105,Sudden Perturbation,-0.8726646259971649,40,0.1625455540146703
Lea,sequence,sudden,106,Sudden Perturbation,-0.8726646259971649,40,0.13680133926623972
Lea,sequence,sudden,107,Sudden Perturbation,-0.8726646259971649,40,0.009044418737859328
Lea,sequence,sudden,108,Sudden Perturbation,-0.8726646259971649,40,-0.0039108486936867415
Lea,sequence,sudden,109,Sudden Perturbation,-0.8726646259971649,40,0.0228626346504478
Lea,sequence,sudden,110,Sudden Perturbation,-0.8726646259971649,40,-0.003218406640304372
Lea,sequence,sudden,111,Sudden Perturbation,-0.8726646259971649,40,0.1728530377188866
Lea,sequence,sudden,112,Sudden Perturbation,-0.8726646259971649,40,-0.014302240921370779
Lea,sequence,sudden,113,Sudden Perturbation,-0.8726646259971649,40,0.12638730916099228
Lea,sequence,sudden,114,Sudden Perturbation,-0.8726646259971649,40,0.00013927380880696116
Lea,sequence,sudden,115,Sudden Perturbation,-0.8726646259971649,40,0.02678418317520781
Lea,sequence,sudden,116,Sudden Perturbation,-0.8726646259971649,40,-0.006007783407226519
Lea,sequence,sudden,117,Sudden Perturbation,-0.8726646259971649,40,0.018894401511414194
Lea,sequence,sudden,118,Sudden Perturbation,-0.8726646259971649,40,0.1211714165495189
Lea,sequence,sudden,119,Sudden Perturbation,-0.8726646259971649,40,0.0917191239514924
Lea,sequence,sudden,120,Sudden Perturbation,-0.8726646259971649,40,0.035440587662730616
Lea,sequence,sudden,121,Sudden Perturbation,-0.8726646259971649,40,0.06025800262928416
Lea,sequence,sudden,122,Sudden Perturbation,-0.8726646259971649,40,0.139004261530438
Lea,sequence,sudden,123,Sudden Perturbation,-0.8726646259971649,40,0.04485132813477022
Lea,sequence,sudden,124,Sudden Perturbation,-0.8726646259971649,40,-0.006691739482530545
Lea,sequence,sudden,125,Sudden Perturbation,-0.8726646259971649,40,0.0774223689192034
Lea,sequence,sudden,126,Sudden Perturbation,-0.8726646259971649,40,0.017515092041297087
Lea,sequence,sudden,127,Sudden Perturbation,-0.8726646259971649,40,0.048067379977389524
Lea,sequence,sudden,128,Sudden Perturbation,-0.8726646259971649,40,0.028606030336472243
Lea,sequence,sudden,129,Sudden Perturbation,-0.8726646259971649,40,0.037018703133299136
Lea,sequence,sudden,130,Sudden Perturbation,-0.8726646259971649,40,-0.028323487169309103
Lea,sequence,sudden,131,Sudden Perturbation,-0.8726646259971649,40,0.018167833462952587
Lea,sequence,sudden,132,Sudden Perturbation,-0.8726646259971649,40,0.02154511235614187
Lea,sequence,sudden,133,Sudden Perturbation,-0.8726646259971649,40,0.13069020859448854
Lea,sequence,sudden,134,Sudden Perturbation,-0.8726646259971649,40,0.004707265868962085
Lea,sequence,sudden,135,Sudden Perturbation,-0.8726646259971649,40,0.06188563573100647
Lea,sequence,sudden,136,Sudden Perturbation,-0.8726646259971649,40,0.022862634650447577
Lea,sequence,sudden,137,Sudden Perturbation,-0.8726646259971649,40,0.026851975189204902
Lea,sequence,sudden,138,Sudden Perturbation,-0.8726646259971649,40,0.12227477823355115
Lea,sequence,sudden,139,Sudden Perturbation,-0.8726646259971649,40,0.08377828122157682
Lea,sequence,sudden,140,Sudden Perturbation,-0.8726646259971649,40,0.09746618711469623
Lea,sequence,sudden,141,Aftereffect,-0.8726646259971649,40,-0.3451413129708212
Lea,sequence,sudden,142,Aftereffect,-0.8726646259971649,40,-0.22138440447714847
Lea,sequence,sudden,143,Aftereffect,-0.8726646259971649,40,-0.08424202431686045
Lea,sequence,sudden,144,Aftereffect,-0.8726646259971649,40,nan
Lea,sequence,sudden,145,Aftereffect,-0.8726646259971649,40,-0.12011061692791214
Lea,sequence,sudden,146,Aftereffect,-0.8726646259971649,40,-0.08205676362001368
Lea,sequence,sudden,147,Aftereffect,-0.8726646259971649,40,-0.040129716931200266
Lea,sequence,sudden,148,Aftereffect,-0.8726646259971649,40,-0.14087511710777623
Lea,sequence,sudden,149,Aftereffect,-0.8726646259971649,40,-0.08687747443970129
Lea,sequence,sudden,150,Aftereffect,-0.8726646259971649,40,-0.018222845925374043
Lea,sequence,sudden,151,Aftereffect,-0.8726646259971649,40,0.002722707086718401
Lea,sequence,sudden,152,Aftereffect,-0.8726646259971649,40,-0.1195546964312818
Lea,sequence,sudden,153,Aftereffect,-0.8726646259971649,40,0.06667440798667712
Lea,sequence,sudden,154,Aftereffect,-0.8726646259971649,40,-0.04815819047715186
Lea,sequence,sudden,155,Aftereffect,-0.8726646259971649,40,-0.02236248130163554
Lea,sequence,sudden,156,Aftereffect,-0.8726646259971649,40,0.021012863141922522
Lea,sequence,sudden,157,Aftereffect,-0.8726646259971649,40,-0.05989716608940876
Lea,sequence,sudden,158,Aftereffect,-0.8726646259971649,40,-0.08559414418742839
Lea,sequence,sudden,159,Aftereffect,-0.8726646259971649,40,-0.020801432408645626
Lea,sequence,sudden,160,Aftereffect,-0.8726646259971649,40,-0.04543846745614699
Lea,sequence,sudden,161,No Perturbation,-1.0471975511965979,30,-0.07465598897534398
Lea,sequence,sudden,162,No Perturbation,-1.0471975511965979,30,0.05547549376943206
Lea,sequence,sudden,163,No Perturbation,-1.0471975511965979,30,0.017968829793546304
Lea,sequence,sudden,164,No Perturbation,-1.0471975511965979,30,-0.039575529767287065
Lea,sequence,sudden,165,No Perturbation,-1.0471975511965979,30,-0.04524634421964113
Lea,sequence,sudden,166,No Perturbation,-1.0471975511965979,30,-0.023713260866857322
Lea,sequence,sudden,167,No Perturbation,-1.0471975511965979,30,-0.11100166235850262
Lea,sequence,sudden,168,No Perturbation,-1.0471975511965979,30,-0.02503086996008075
Lea,sequence,sudden,169,No Perturbation,-1.0471975511965979,30,0.0013387796890267367
Lea,sequence,sudden,170,No Perturbation,-1.0471975511965979,30,0.006532013750304211
Lea,sequence,sudden,171,No Perturbation,-1.0471975511965979,30,0.01157295943454284
Lea,sequence,sudden,172,No Perturbation,-1.0471975511965979,30,-0.02503086996008075
Lea,sequence,sudden,173,No Perturbation,-1.0471975511965979,30,-0.017454772984175637
Lea,sequence,sudden,174,No Perturbation,-1.0471975511965979,30,-0.05141652318495171
Lea,sequence,sudden,175,No Perturbation,-1.0471975511965979,30,0.014581086759616335
Lea,sequence,sudden,176,No Perturbation,-1.0471975511965979,30,-0.0016232428714864078
Lea,sequence,sudden,177,No Perturbation,-1.0471975511965979,30,-0.05285908692317287
Lea,sequence,sudden,178,No Perturbation,-1.0471975511965979,30,-0.06519358252938412
Lea,sequence,sudden,179,No Perturbation,-1.0471975511965979,30,-0.09987288340238032
Lea,sequence,sudden,180,No Perturbation,-1.0471975511965979,30,-0.046946119486903415
Lea,sequence,sudden,181,Sudden Perturbation,-1.0471975511965979,30,0.3019511618302494
Lea,sequence,sudden,182,Sudden Perturbation,-1.0471975511965979,30,0.25296571373056864
Lea,sequence,sudden,183,Sudden Perturbation,-1.0471975511965979,30,0.15980969984697369
Lea,sequence,sudden,184,Sudden Perturbation,-1.0471975511965979,30,0.020199272581067795
Lea,sequence,sudden,185,Sudden Perturbation,-1.0471975511965979,30,0.06101740951197099
Lea,sequence,sudden,186,Sudden Perturbation,-1.0471975511965979,30,nan
Lea,sequence,sudden,187,Sudden Perturbation,-1.0471975511965979,30,0.24339888561011702
Lea,sequence,sudden,188,Sudden Perturbation,-1.0471975511965979,30,0.23465337479230786
Lea,sequence,sudden,189,Sudden Perturbation,-1.0471975511965979,30,0.0883767861448489
Lea,sequence,sudden,190,Sudden Perturbation,-1.0471975511965979,30,0.05027207199772765
Lea,sequence,sudden,191,Sudden Perturbation,-1.0471975511965979,30,0.21199769653034406
Lea,sequence,sudden,192,Sudden Perturbation,-1.0471975511965979,30,0.18776194651359335
Lea,sequence,sudden,193,Sudden Perturbation,-1.0471975511965979,30,0.09418306698605816
Lea,sequence,sudden,194,Sudden Perturbation,-1.0471975511965979,30,0.20829101247036275
Lea,sequence,sudden,195,Sudden Perturbation,-1.0471975511965979,30,0.0068727440211704405
Lea,sequence,sudden,196,Sudden Perturbation,-1.0471975511965979,30,-0.04773441209713303
Lea,sequence,sudden,197,Sudden Perturbation,-1.0471975511965979,30,0.08559890034272577
Lea,sequence,sudden,198,Sudden Perturbation,-1.0471975511965979,30,0.05601610354317932
Lea,sequence,sudden,199,Sudden Perturbation,-1.0471975511965979,30,0.08259313657473133
Lea,sequence,sudden,200,Sudden Perturbation,-1.0471975511965979,30,0.05478383679494003
Lea,sequence,sudden,201,Sudden Perturbation,-1.0471975511965979,30,-0.06024447066705707
