subject_name,target_mode,perturbation_type,trial_number,trial_name,target_angles,circle_angles,error_angles
Lea,fix,sudden,78,Sudden Perturbation 1,0,-1.3360428897182026,-1.3360428897182026
Lea,fix,sudden,79,Sudden Perturbation 1,0,-0.9950599562510157,-0.9950599562510157
Lea,fix,sudden,80,Sudden Perturbation 1,0,-0.8430821176871789,-0.8430821176871789
Lea,fix,sudden,81,No Peturbation,0,18.20391870602652,18.20391870602652
Lea,fix,sudden,82,No Peturbation,0,7.2750049578891804,7.2750049578891804
Lea,fix,sudden,83,No Peturbation,0,2.1342587625021925,2.1342587625021925
Lea,fix,sudden,84,No Peturbation,0,0.19291435353183603,0.19291435353183603
Lea,fix,sudden,85,No Peturbation,0,2.6552929865328814,2.6552929865328814
Lea,fix,sudden,86,No Peturbation,0,5.6426467957810384,5.6426467957810384
Lea,fix,sudden,87,No Peturbation,0,-2.966943555322643,-2.966943555322643
Lea,fix,sudden,88,No Peturbation,0,-10.925871453234224,-10.925871453234224
Lea,fix,sudden,89,No Peturbation,0,1.5622249168420501,1.5622249168420501
Lea,fix,sudden,90,No Peturbation,0,4.881184725190306,4.881184725190306
Lea,fix,sudden,91,No Peturbation,0,2.3859440303887243,2.3859440303887243
Lea,fix,sudden,92,No Peturbation,0,5.161098033360229,5.161098033360229
Lea,fix,sudden,93,No Peturbation,0,-0.7117122060352986,-0.7117122060352986
Lea,fix,sudden,94,No Peturbation,0,3.190234292532214,3.190234292532214
Lea,fix,sudden,95,No Peturbation,0,0.18189075249794698,0.18189075249794698
Lea,fix,sudden,96,No Peturbation,0,-4.343239951689415,-4.343239951689415
Lea,fix,sudden,97,No Peturbation,0,0.5456575934151701,0.5456575934151701
Lea,fix,sudden,98,No Peturbation,0,0.3637778388640739,0.3637778388640739
Lea,fix,sudden,99,No Peturbation,0,3.219494896852902,3.219494896852902
Lea,fix,sudden,100,No Peturbation,0,-0.36034606338677005,-0.36034606338677005
Lea,fix,sudden,101,No Peturbation,0,4.072439278019267,4.072439278019267
Lea,fix,sudden,102,No Peturbation,0,-2.9450963193751796,-2.9450963193751796
Lea,fix,sudden,103,No Peturbation,0,-0.8841239481360356,-0.8841239481360356
Lea,fix,sudden,104,No Peturbation,0,5.228191885272308,5.228191885272308
Lea,fix,sudden,105,No Peturbation,0,-3.9989738439468647,-3.9989738439468647
Lea,fix,sudden,106,No Peturbation,0,15.729638755231184,15.729638755231184
Lea,fix,sudden,107,No Peturbation,0,4.903900356731319,4.903900356731319
Lea,fix,sudden,108,No Peturbation,0,6.793191219964926,6.793191219964926
Lea,fix,sudden,109,No Peturbation,0,-3.125115083642987,-3.125115083642987
Lea,fix,sudden,110,No Peturbation,0,6.952957468173869,6.952957468173869
Lea,fix,sudden,111,No Peturbation,0,1.0897339522894256,1.0897339522894256
Lea,fix,sudden,112,No Peturbation,0,-1.8087393224922639,-1.8087393224922639
Lea,fix,sudden,113,No Peturbation,0,-0.16511706311232013,-0.16511706311232013
Lea,fix,sudden,114,No Peturbation,0,6.075832904316953,6.075832904316953
Lea,fix,sudden,115,No Peturbation,0,1.7462816202855964,1.7462816202855964
Lea,fix,sudden,116,No Peturbation,0,-3.8140748342903783,-3.8140748342903783
Lea,fix,sudden,117,No Peturbation,0,-1.6554865391189715,-1.6554865391189715
Lea,fix,sudden,118,No Peturbation,0,-1.42320484663309,-1.42320484663309
Lea,fix,sudden,119,No Peturbation,0,-5.424285040943786,-5.424285040943786
Lea,fix,sudden,120,No Peturbation,0,-1.662958741342219,-1.662958741342219
Lea,fix,sudden,121,Sudden Perturbation 2,0,-17.45452685225124,-17.45452685225124
Lea,fix,sudden,122,Sudden Perturbation 2,0,-6.655989038422428,-6.655989038422428
